"1999 - 2000 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
DistrictofColumbia,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
11,001,48,439,TX,"Tarrant County",29,40,1110
11,001,51,003,VA,"Albemarle County",29,39,997
11,001,51,087,VA,"Henrico County",29,42,921
11,001,55,079,WI,"Milwaukee County",29,39,693
11,001,06,067,CA,"Sacramento County",28,35,1262
11,001,12,001,FL,"Alachua County",28,30,954
11,001,42,029,PA,"Chester County",28,32,1797
11,001,51,610,VA,"Falls Church",28,49,1715
11,001,06,053,CA,"Monterey County",27,59,921
11,001,29,095,MO,"Jackson County",27,29,851
11,001,29,510,MO,"St Louis",27,28,902
11,001,45,019,SC,"Charleston County",27,36,733
11,001,50,007,VT,"Chittenden County",27,33,910
11,001,17,043,IL,"Du Page County",26,30,3346
11,001,34,005,NJ,"Burlington County",26,33,1153
11,001,21,111,KY,"Jefferson County",25,32,728
11,001,24,009,MD,"Calvert County",25,37,1744
11,001,26,065,MI,"Ingham County",25,27,825
11,001,06,081,CA,"San Mateo County",24,35,1281
11,001,08,005,CO,"Arapahoe County",24,35,890
11,001,23,005,ME,"Cumberland County",24,30,802
11,001,25,015,MA,"Hampshire County",24,27,830
11,001,25,023,MA,"Plymouth County",24,32,922
11,001,25,027,MA,"Worcester County",24,24,648
11,001,36,109,NY,"Tompkins County",24,31,2059
11,001,37,067,NC,"Forsyth County",24,32,1055
11,001,40,109,OK,"Oklahoma County",24,33,878
11,001,49,035,UT,"Salt Lake County",24,34,821
11,001,01,101,AL,"Montgomery County",22,35,958
11,001,06,041,CA,"Marin County",22,25,1039
11,001,06,083,CA,"Santa Barbara County",22,32,697
11,001,18,141,IN,"St Joseph County",22,26,734
11,001,25,013,MA,"Hampden County",22,27,551
11,001,27,123,MN,"Ramsey County",22,24,668
11,001,34,039,NJ,"Union County",22,32,1578
11,001,36,001,NY,"Albany County",22,22,871
11,001,36,087,NY,"Rockland County",22,22,622
11,001,51,650,VA,Hampton,21,38,714
11,001,08,013,CO,"Boulder County",20,25,918
11,001,35,049,NM,"Santa Fe County",20,26,637
11,001,51,179,VA,"Stafford County",20,35,966
11,001,02,020,AK,"Anchorage Borough",19,34,554
11,001,06,111,CA,"Ventura County",19,33,539
11,001,19,153,IA,"Polk County",19,20,603
11,001,34,035,NJ,"Somerset County",19,22,686
11,001,42,071,PA,"Lancaster County",19,24,436
11,001,01,073,AL,"Jefferson County",18,19,739
11,001,12,033,FL,"Escambia County",18,23,480
11,001,12,117,FL,"Seminole County",18,19,488
11,001,24,025,MD,"Harford County",18,26,488
11,001,36,027,NY,"Dutchess County",18,25,696
11,001,42,027,PA,"Centre County",18,19,521
11,001,42,041,PA,"Cumberland County",18,20,451
11,001,51,041,VA,"Chesterfield County",18,28,629
11,001,05,119,AR,"Pulaski County",17,19,594
11,001,10,001,DE,"Kent County",17,27,470
11,001,18,105,IN,"Monroe County",17,19,415
11,001,26,081,MI,"Kent County",17,22,640
11,001,41,039,OR,"Lane County",17,19,427
11,001,42,133,PA,"York County",17,18,308
11,001,51,061,VA,"Fauquier County",17,27,3419
11,001,16,001,ID,"Ada County",16,23,581
11,001,17,097,IL,"Lake County",16,17,509
11,001,33,015,NH,"Rockingham County",16,16,579
11,001,39,113,OH,"Montgomery County",16,26,539
11,001,40,143,OK,"Tulsa County",16,21,433
11,001,13,059,GA,"Clarke County",15,20,427
11,001,21,067,KY,"Fayette County",15,17,372
11,001,24,043,MD,"Washington County",15,18,940
11,001,39,153,OH,"Summit County",15,20,739
11,001,42,077,PA,"Lehigh County",15,17,322
11,001,45,013,SC,"Beaufort County",15,24,342
11,001,51,600,VA,Fairfax,15,23,609
11,001,25,005,MA,"Bristol County",14,21,483
11,001,34,001,NJ,"Atlantic County",14,17,346
11,001,34,029,NJ,"Ocean County",14,16,583
11,001,37,037,NC,"Chatham County",14,19,409
11,001,42,079,PA,"Luzerne County",14,14,277
11,001,47,093,TN,"Knox County",14,15,383
11,001,48,085,TX,"Collin County",14,17,868
11,001,51,550,VA,Chesapeake,14,31,499
11,001,51,680,VA,Lynchburg,14,16,326
11,001,53,053,WA,"Pierce County",14,22,794
11,001,57,003,FR,"Foreign - Puerto Rico",14,27,466
11,001,17,019,IL,"Champaign County",13,17,280
11,001,20,091,KS,"Johnson County",13,14,392
11,001,22,033,LA,"East Baton Rouge Par",13,16,284
11,001,24,013,MD,"Carroll County",13,18,365
11,001,28,047,MS,"Harrison County",13,25,411
11,001,33,011,NH,"Hillsborough County",13,15,234
11,001,37,191,NC,"Wayne County",13,38,226
11,001,42,043,PA,"Dauphin County",13,24,1157
11,001,51,095,VA,"James City County",13,15,447
11,001,06,065,CA,"Riverside County",12,12,252
11,001,10,005,DE,"Sussex County",12,15,941
11,001,12,009,FL,"Brevard County",12,21,637
11,001,13,051,GA,"Chatham County",12,16,210
11,001,13,245,GA,"Richmond County",12,23,341
11,001,31,055,NE,"Douglas County",12,13,274
11,001,31,109,NE,"Lancaster County",12,16,585
11,001,51,683,VA,Manassas,12,20,618
11,001,01,089,AL,"Madison County",11,11,357
11,001,01,097,AL,"Mobile County",11,16,411
11,001,06,019,CA,"Fresno County",11,12,268
11,001,08,059,CO,"Jefferson County",11,15,346
11,001,09,005,CT,"Litchfield County",11,18,427
11,001,09,013,CT,"Tolland County",11,12,237
11,001,29,019,MO,"Boone County",11,12,231
11,001,32,031,NV,"Washoe County",11,17,308
11,001,37,129,NC,"New Hanover County",11,15,212
11,001,39,095,OH,"Lucas County",11,12,285
11,001,41,005,OR,"Clackamas County",11,11,214
11,001,42,011,PA,"Berks County",11,11,277
11,001,48,121,TX,"Denton County",11,18,646
11,001,04,003,AZ,"Cochise County",10,24,413
11,001,06,029,CA,"Kern County",10,24,449
11,001,06,087,CA,"Santa Cruz County",10,16,390
11,001,06,095,CA,"Solano County",10,16,388
11,001,06,097,CA,"Sonoma County",10,10,423
11,001,12,071,FL,"Lee County",10,13,270
11,001,12,115,FL,"Sarasota County",10,11,469
11,001,12,127,FL,"Volusia County",10,12,810
11,001,13,063,GA,"Clayton County",10,12,235
11,001,24,041,MD,"Talbot County",10,12,446
11,001,31,153,NE,"Sarpy County",10,28,318
11,001,36,065,NY,"Oneida County",10,14,244
11,001,36,093,NY,"Schenectady County",10,11,292
11,001,39,093,OH,"Lorain County",10,11,170
11,001,42,129,PA,"Westmoreland County",10,10,211
11,001,48,027,TX,"Bell County",10,19,184
11,001,50,027,VT,"Windsor County",10,12,298
11,001,51,199,VA,"York County",10,23,479
11,001,51,630,VA,Fredericksburg,10,14,304
11,001,51,730,VA,Petersburg,10,31,151
11,001,59,000,DS,"Other Flows - Diff State",2318,3179,71825
11,001,59,001,DS,"Other Flows - Northeast",442,561,13966
11,001,59,003,DS,"Other Flows - Midwest",539,637,16762
11,001,59,005,DS,"Other Flows - South",1043,1555,31177
11,001,59,007,DS,"Other Flows - West",294,426,9920
11,001,57,009,FR,"Foreign - Other flows",2120,2320,24692
