"1997-1998 County To County Migration  Inflows",,,,,,Connecticut,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
"Migration into ",,"Migration from",,,,Number,Number,Aggregate,
Connecticut,,,,,,of,of,adjusted,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,
"FIPS Code",,,,,"and county by county detail",,,income,
,,,,,,,,,
09,001,12,009,FL,"Brevard County",22,40,1251,
09,001,25,015,MA,"Hampshire County",22,30,884,
09,001,32,003,NV,"Clark County",22,32,554,
09,001,36,007,NY,"Broome County",22,30,1069,
09,001,36,109,NY,"Tompkins County",22,32,849,
09,001,41,051,OR,"Multnomah County",22,35,1202,
09,001,12,071,FL,"Lee County",21,33,837,
09,001,15,003,HI,"Honolulu County",21,32,819,
09,001,48,085,TX,"Collin County",21,48,2771,
09,001,50,007,VT,"Chittenden County",21,28,847,
09,001,57,003,FR,"Foreign - Puerto Rico",21,48,588,
09,001,08,031,CO,"Denver County",20,28,961,
09,001,26,161,MI,"Washtenaw County",20,34,1098,
09,001,36,111,NY,"Ulster County",20,27,627,
09,001,47,037,TN,"Davidson County",20,28,949,
09,001,12,021,FL,"Collier County",19,28,1561,
09,001,25,003,MA,"Berkshire County",19,35,2293,
09,001,48,453,TX,"Travis County",19,30,2088,
09,001,12,127,FL,"Volusia County",18,37,739,
09,001,36,093,NY,"Schenectady County",18,34,2095,
09,001,37,081,NC,"Guilford County",18,36,1386,
09,001,49,035,UT,"Salt Lake County",18,43,930,
09,001,23,005,ME,"Cumberland County",17,21,1332,
09,001,24,510,MD,Baltimore,17,26,923,
09,001,33,015,NH,"Rockingham County",17,29,787,
09,001,37,063,NC,"Durham County",17,29,847,
09,001,48,029,TX,"Bexar County",17,31,1244,
09,001,04,019,AZ,"Pima County",16,19,348,
09,001,06,041,CA,"Marin County",16,44,2431,
09,001,08,005,CO,"Arapahoe County",16,30,1751,
09,001,12,031,FL,"Duval County",16,37,1011,
09,001,12,111,FL,"St Lucie County",16,26,292,
09,001,12,117,FL,"Seminole County",16,24,719,
09,001,18,097,IN,"Marion County",16,24,1219,
09,001,21,111,KY,"Jefferson County",16,26,1330,
09,001,24,003,MD,"Anne Arundel County",16,25,868,
09,001,24,033,MD,"Prince George's Coun",16,26,735,
09,001,34,007,NJ,"Camden County",16,24,471,
09,001,51,087,VA,"Henrico County",16,33,1568,
09,001,51,810,VA,"Virginia Beach",16,23,341,
09,001,08,041,CO,"El Paso County",15,29,657,
09,001,45,019,SC,"Charleston County",15,22,412,
09,001,26,163,MI,"Wayne County",14,29,1066,
09,001,37,051,NC,"Cumberland County",14,34,350,
09,001,50,025,VT,"Windham County",14,20,1206,
09,001,55,025,WI,"Dane County",14,21,639,
09,001,06,071,CA,"San Bernardino Count",12,21,329,
09,001,12,061,FL,"Indian River County",12,20,621,
09,001,20,091,KS,"Johnson County",12,37,1428,
09,001,31,055,NE,"Douglas County",12,19,638,
09,001,37,133,NC,"Onslow County",12,15,213,
09,001,39,153,OH,"Summit County",12,22,775,
09,001,42,077,PA,"Lehigh County",12,30,847,
09,001,44,003,RI,"Kent County",12,19,521,
09,001,51,003,VA,"Albemarle County",12,22,462,
09,001,06,065,CA,"Riverside County",11,24,420,
09,001,12,085,FL,"Martin County",11,20,1067,
09,001,12,109,FL,"St Johns County",11,24,1119,
09,001,29,095,MO,"Jackson County",11,25,987,
09,001,34,019,NJ,"Hunterdon County",11,26,1235,
09,001,35,001,NM,"Bernalillo County",11,12,236,
09,001,36,083,NY,"Rensselaer County",11,20,414,
09,001,39,025,OH,"Clermont County",11,24,1553,
09,001,45,051,SC,"Horry County",11,15,311,
09,001,50,021,VT,"Rutland County",11,15,184,
09,001,51,041,VA,"Chesterfield County",11,27,1756,
09,001,51,710,VA,Norfolk,11,21,441,
09,001,12,015,FL,"Charlotte County",10,15,-1053,
09,001,13,135,GA,"Gwinnett County",10,15,313,
09,001,21,067,KY,"Fayette County",10,15,313,
09,001,23,031,ME,"York County",10,22,448,
09,001,24,027,MD,"Howard County",10,18,860,
09,001,27,123,MN,"Ramsey County",10,17,530,
09,001,33,005,NH,"Cheshire County",10,14,187,
09,001,33,009,NH,"Grafton County",10,15,361,
09,001,34,037,NJ,"Sussex County",10,17,946,
09,001,36,063,NY,"Niagara County",10,18,408,
09,001,37,067,NC,"Forsyth County",10,19,1030,
09,001,42,027,PA,"Centre County",10,12,343,
09,001,42,069,PA,"Lackawanna County",10,13,288,
09,001,51,760,VA,Richmond,10,15,424,
09,001,58,000,SS,"Other Flows - Same State",40,54,856,
09,001,59,000,DS,"Other Flows - Diff State",1616,2868,96129,
09,001,59,001,DS,"Other Flows - Northeast",343,531,14008,
09,001,59,003,DS,"Other Flows - Midwest",339,624,24088,
09,001,59,005,DS,"Other Flows - South",653,1229,44045,
09,001,59,007,DS,"Other Flows - West",281,484,13987,
09,001,57,009,FR,"Foreign - Other flows",556,813,42035,
09,003,96,000,CT,"Hartford County Tot Mig-US & For",13363,22743,582104,
09,003,97,000,CT,"Hartford County Tot Mig-US",12998,22210,573315,
09,003,97,001,CT,"Hartford County Tot Mig-Same St",5786,9433,234433,
09,003,97,003,CT,"Hartford County Tot Mig-Diff St",7212,12777,338882,
09,003,98,000,CT,"Hartford County Tot Mig-Foreign",365,533,8789,
09,003,09,003,CT,"Hartford County Non-Migrants",313945,652096,16853049,
09,003,09,013,CT,"Tolland County",1606,2621,56761,
09,003,09,009,CT,"New Haven County",1413,2331,58770,
09,003,09,007,CT,"Middlesex County",1069,1757,49650,
09,003,09,005,CT,"Litchfield County",713,1130,25693,
09,003,25,013,MA,"Hampden County",597,1046,24219,
09,003,09,001,CT,"Fairfield County",437,721,23616,
09,003,09,011,CT,"New London County",354,574,14141,
09,003,25,017,MA,"Middlesex County",222,352,12296,
09,003,36,061,NY,"New York County",134,193,6902,
09,003,25,025,MA,"Suffolk County",130,163,5853,
09,003,25,027,MA,"Worcester County",115,219,7615,
09,003,36,047,NY,"Kings County",112,208,2417,
09,003,36,081,NY,"Queens County",107,228,2977,
09,003,12,099,FL,"Palm Beach County",98,156,3383,
09,003,12,011,FL,"Broward County",90,148,3770,
09,003,06,037,CA,"Los Angeles County",89,142,4779,
09,003,25,021,MA,"Norfolk County",88,132,5279,
09,003,17,031,IL,"Cook County",79,133,6516,
09,003,25,015,MA,"Hampshire County",76,116,3673,
09,003,36,103,NY,"Suffolk County",73,143,3756,
09,003,36,119,NY,"Westchester County",73,122,4676,
09,003,04,013,AZ,"Maricopa County",71,112,2721,
09,003,36,059,NY,"Nassau County",70,119,3276,
09,003,06,073,CA,"San Diego County",61,90,2635,
09,003,12,095,FL,"Orange County",60,106,1505,
09,003,36,005,NY,"Bronx County",57,103,1508,
09,003,44,007,RI,"Providence County",54,76,1611,
09,003,51,059,VA,"Fairfax County",54,99,4604,
09,003,25,009,MA,"Essex County",53,88,2291,
09,003,33,011,NH,"Hillsborough County",51,82,2324,
09,003,12,025,FL,"Dade County",49,102,2370,
09,003,12,057,FL,"Hillsborough County",49,77,1938,
