"1997-1998 County To County Migration  Inflows",,,,,,Connecticut,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
"Migration into ",,"Migration from",,,,Number,Number,Aggregate,
Connecticut,,,,,,of,of,adjusted,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,
"FIPS Code",,,,,"and county by county detail",,,income,
,,,,,,,,,
09,007,57,009,FR,"Foreign - Other flows",68,83,551,
09,009,96,000,CT,"New Haven Count Tot Mig-US & For",13178,22550,511781,
09,009,97,000,CT,"New Haven Count Tot Mig-US",12608,21791,503792,
09,009,97,001,CT,"New Haven Count Tot Mig-Same St",6059,10362,244370,
09,009,97,003,CT,"New Haven Count Tot Mig-Diff St",6549,11429,259423,
09,009,98,000,CT,"New Haven Count Tot Mig-Foreign",570,759,7989,
09,009,09,009,CT,"New Haven Count Non-Migrants",290096,606361,14468833,
09,009,09,001,CT,"Fairfield County",2931,5213,122041,
09,009,09,003,CT,"Hartford County",1208,1991,47354,
09,009,09,007,CT,"Middlesex County",790,1325,34988,
09,009,09,005,CT,"Litchfield County",755,1251,26942,
09,009,36,061,NY,"New York County",223,334,11886,
09,009,25,017,MA,"Middlesex County",192,293,8017,
09,009,09,011,CT,"New London County",190,293,6879,
09,009,36,119,NY,"Westchester County",166,312,7927,
09,009,36,081,NY,"Queens County",162,316,5367,
09,009,36,047,NY,"Kings County",156,307,4146,
09,009,09,013,CT,"Tolland County",122,192,4192,
09,009,36,005,NY,"Bronx County",118,261,2852,
09,009,25,025,MA,"Suffolk County",116,161,4664,
09,009,06,037,CA,"Los Angeles County",100,168,3866,
09,009,36,103,NY,"Suffolk County",93,155,4568,
09,009,36,059,NY,"Nassau County",91,161,4310,
09,009,17,031,IL,"Cook County",86,144,3323,
09,009,25,013,MA,"Hampden County",75,116,2366,
09,009,25,021,MA,"Norfolk County",74,124,4176,
09,009,06,073,CA,"San Diego County",73,118,1930,
09,009,12,099,FL,"Palm Beach County",73,130,3033,
09,009,12,011,FL,"Broward County",72,136,2478,
09,009,44,007,RI,"Providence County",61,92,1847,
09,009,04,013,AZ,"Maricopa County",59,95,1932,
09,009,25,027,MA,"Worcester County",58,110,2761,
09,009,34,003,NJ,"Bergen County",53,87,2401,
09,009,11,001,DC,"District Of Columbia",52,64,1632,
09,009,42,101,PA,"Philadelphia County",51,69,2003,
09,009,12,095,FL,"Orange County",50,98,1307,
09,009,42,003,PA,"Allegheny County",50,96,2557,
09,009,57,005,FR,"Foreign - APO/FPO ZIPs",50,97,1231,
09,009,06,075,CA,"San Francisco County",49,66,1964,
09,009,36,027,NY,"Dutchess County",49,85,1659,
09,009,24,031,MD,"Montgomery County",44,89,2385,
09,009,12,025,FL,"Dade County",43,71,1231,
09,009,12,103,FL,"Pinellas County",43,61,847,
09,009,06,059,CA,"Orange County",41,72,1989,
09,009,53,033,WA,"King County",40,62,1379,
09,009,25,009,MA,"Essex County",39,78,2234,
09,009,34,023,NJ,"Middlesex County",39,69,1781,
09,009,48,201,TX,"Harris County",38,68,3549,
09,009,25,015,MA,"Hampshire County",35,49,1210,
09,009,34,013,NJ,"Essex County",35,65,1461,
09,009,42,091,PA,"Montgomery County",35,68,1966,
09,009,12,057,FL,"Hillsborough County",34,75,1658,
09,009,34,017,NJ,"Hudson County",34,57,1022,
09,009,34,031,NJ,"Passaic County",34,64,641,
09,009,12,127,FL,"Volusia County",33,44,497,
09,009,25,005,MA,"Bristol County",32,49,1331,
09,009,25,023,MA,"Plymouth County",32,57,1223,
09,009,34,027,NJ,"Morris County",32,51,2176,
09,009,36,067,NY,"Onondaga County",32,52,1211,
09,009,33,011,NH,"Hillsborough County",31,49,1422,
09,009,36,055,NY,"Monroe County",28,48,965,
09,009,06,001,CA,"Alameda County",27,35,1006,
09,009,13,121,GA,"Fulton County",27,60,1399,
09,009,25,001,MA,"Barnstable County",27,41,1032,
09,009,37,183,NC,"Wake County",27,40,904,
09,009,34,039,NJ,"Union County",26,41,1179,
09,009,48,113,TX,"Dallas County",26,39,979,
09,009,25,003,MA,"Berkshire County",25,47,979,
09,009,33,015,NH,"Rockingham County",25,39,1234,
09,009,51,059,VA,"Fairfax County",25,37,1147,
09,009,24,033,MD,"Prince George's Coun",24,44,915,
09,009,29,189,MO,"St Louis County",24,54,1462,
09,009,36,029,NY,"Erie County",24,39,901,
09,009,44,003,RI,"Kent County",24,35,830,
09,009,26,163,MI,"Wayne County",23,42,714,
09,009,32,003,NV,"Clark County",23,48,551,
09,009,34,025,NJ,"Monmouth County",23,62,1058,
09,009,42,017,PA,"Bucks County",23,48,1848,
09,009,24,005,MD,"Baltimore County",22,38,1947,
09,009,24,510,MD,Baltimore,22,30,733,
09,009,36,001,NY,"Albany County",22,29,498,
09,009,37,119,NC,"Mecklenburg County",22,44,909,
09,009,51,013,VA,"Arlington County",22,29,851,
09,009,04,019,AZ,"Pima County",21,29,545,
09,009,13,089,GA,"De Kalb County",21,32,727,
09,009,36,079,NY,"Putnam County",21,42,1542,
09,009,39,035,OH,"Cuyahoga County",21,39,773,
09,009,10,003,DE,"New Castle County",20,36,699,
09,009,12,009,FL,"Brevard County",20,41,641,
09,009,12,071,FL,"Lee County",20,42,565,
09,009,12,115,FL,"Sarasota County",20,38,693,
09,009,27,053,MN,"Hennepin County",20,34,884,
09,009,34,035,NJ,"Somerset County",20,40,1212,
09,009,36,087,NY,"Rockland County",20,31,896,
09,009,51,810,VA,"Virginia Beach",20,34,419,
09,009,37,133,NC,"Onslow County",19,34,403,
09,009,50,007,VT,"Chittenden County",19,36,818,
09,009,08,013,CO,"Boulder County",18,20,412,
09,009,34,007,NJ,"Camden County",18,35,794,
09,009,36,071,NY,"Orange County",18,32,588,
09,009,42,029,PA,"Chester County",18,26,735,
09,009,57,003,FR,"Foreign - Puerto Rico",18,41,249,
09,009,06,085,CA,"Santa Clara County",17,22,972,
09,009,08,031,CO,"Denver County",17,22,405,
09,009,12,031,FL,"Duval County",17,37,642,
09,009,12,117,FL,"Seminole County",17,39,390,
09,009,15,003,HI,"Honolulu County",17,29,599,
09,009,26,125,MI,"Oakland County",17,36,759,
09,009,36,085,NY,"Richmond County",17,22,618,
09,009,39,049,OH,"Franklin County",17,26,423,
09,009,06,013,CA,"Contra Costa County",16,34,827,
09,009,06,071,CA,"San Bernardino Count",16,38,612,
09,009,34,021,NJ,"Mercer County",16,32,1167,
09,009,36,091,NY,"Saratoga County",16,22,500,
09,009,44,005,RI,"Newport County",16,28,673,
09,009,13,067,GA,"Cobb County",15,28,825,
09,009,18,097,IN,"Marion County",15,28,622,
09,009,23,003,ME,"Aroostook County",15,27,243,
09,009,23,005,ME,"Cumberland County",15,21,594,
09,009,23,031,ME,"York County",15,24,326,
09,009,26,161,MI,"Washtenaw County",15,25,526,
09,009,36,111,NY,"Ulster County",15,33,621,
09,009,37,135,NC,"Orange County",15,26,525,
09,009,42,045,PA,"Delaware County",15,23,425,
09,009,12,081,FL,"Manatee County",14,29,1665,
09,009,12,101,FL,"Pasco County",14,26,249,
09,009,37,051,NC,"Cumberland County",14,20,220,
09,009,37,063,NC,"Durham County",14,26,490,
09,009,39,061,OH,"Hamilton County",14,29,959,
09,009,39,153,OH,"Summit County",14,23,628,
09,009,42,077,PA,"Lehigh County",14,26,708,
09,009,42,095,PA,"Northampton County",14,28,725,
09,009,44,009,RI,"Washington County",14,29,670,
09,009,50,023,VT,"Washington County",14,25,316,
09,009,12,061,FL,"Indian River County",13,21,581,
09,009,12,083,FL,"Marion County",13,25,226,
09,009,17,043,IL,"Du Page County",13,27,701,
09,009,21,111,KY,"Jefferson County",13,20,523,
09,009,22,071,LA,"Orleans Parish",13,19,311,
09,009,27,123,MN,"Ramsey County",13,23,804,
09,009,33,009,NH,"Grafton County",13,17,391,
09,009,36,109,NY,"Tompkins County",13,17,331,
09,009,48,453,TX,"Travis County",13,17,911,
09,009,12,097,FL,"Osceola County",12,22,247,
09,009,18,105,IN,"Monroe County",12,15,338,
09,009,34,005,NJ,"Burlington County",12,19,733,
09,009,36,093,NY,"Schenectady County",12,21,642,
09,009,48,439,TX,"Tarrant County",12,29,894,
09,009,50,027,VT,"Windsor County",12,20,308,
09,009,51,510,VA,Alexandria,12,18,519,
09,009,06,081,CA,"San Mateo County",11,17,550,
09,009,08,041,CO,"El Paso County",11,20,363,
09,009,12,021,FL,"Collier County",11,17,258,
09,009,23,019,ME,"Penobscot County",11,22,236,
09,009,34,019,NJ,"Hunterdon County",11,29,1751,
09,009,37,081,NC,"Guilford County",11,19,539,
09,009,42,079,PA,"Luzerne County",11,21,432,
09,009,45,019,SC,"Charleston County",11,18,237,
09,009,50,003,VT,"Bennington County",11,22,419,
09,009,50,025,VT,"Windham County",11,16,249,
09,009,08,059,CO,"Jefferson County",10,18,264,
09,009,12,111,FL,"St Lucie County",10,19,199,
09,009,17,097,IL,"Lake County",10,24,681,
09,009,23,011,ME,"Kennebec County",10,18,158,
09,009,29,510,MO,"St Louis",10,14,295,
09,009,33,013,NH,"Merrimack County",10,13,213,
09,009,33,019,NH,"Sullivan County",10,18,203,
09,009,36,083,NY,"Rensselaer County",10,13,321,
09,009,37,067,NC,"Forsyth County",10,18,359,
09,009,41,051,OR,"Multnomah County",10,19,340,
09,009,42,027,PA,"Centre County",10,17,189,
09,009,42,133,PA,"York County",10,17,349,
09,009,45,079,SC,"Richland County",10,20,455,
09,009,47,157,TN,"Shelby County",10,18,499,
09,009,48,029,TX,"Bexar County",10,22,354,
09,009,51,087,VA,"Henrico County",10,16,308,
09,009,51,153,VA,"Prince William Count",10,23,387,
09,009,51,710,VA,Norfolk,10,20,129,
09,009,53,053,WA,"Pierce County",10,17,214,
09,009,58,000,SS,"Other Flows - Same State",63,97,1973,
09,009,59,000,DS,"Other Flows - Diff State",1514,2733,56518,
09,009,59,001,DS,"Other Flows - Northeast",331,550,10467,
09,009,59,003,DS,"Other Flows - Midwest",333,636,14712,
09,009,59,005,DS,"Other Flows - South",612,1135,24299,
09,009,59,007,DS,"Other Flows - West",238,412,7040,
09,009,57,009,FR,"Foreign - Other flows",502,621,6509,
09,011,96,000,CT,"New London Coun Tot Mig-US & For",6179,11588,233773,
09,011,97,000,CT,"New London Coun Tot Mig-US",5921,11110,226917,
09,011,97,001,CT,"New London Coun Tot Mig-Same St",1734,2983,75420,
09,011,97,003,CT,"New London Coun Tot Mig-Diff St",4187,8127,151496,
09,011,98,000,CT,"New London Coun Tot Mig-Foreign",258,478,6856,
09,011,09,011,CT,"New London Coun Non-Migrants",92669,195639,4536430,
09,011,09,015,CT,"Windham County",458,819,12776,
09,011,09,003,CT,"Hartford County",400,683,21450,
09,011,09,007,CT,"Middlesex County",378,661,16697,
09,011,44,009,RI,"Washington County",299,526,10491,
09,011,57,005,FR,"Foreign - APO/FPO ZIPs",219,402,5809,
09,011,09,009,CT,"New Haven County",205,346,8122,
09,011,09,013,CT,"Tolland County",147,244,7349,
09,011,09,001,CT,"Fairfield County",116,192,7963,
09,011,13,039,GA,"Camden County",108,269,2757,
09,011,12,095,FL,"Orange County",75,148,1951,
09,011,44,007,RI,"Providence County",70,121,2120,
09,011,06,073,CA,"San Diego County",68,162,2106,
09,011,15,003,HI,"Honolulu County",63,199,1999,
09,011,53,035,WA,"Kitsap County",61,162,2206,
09,011,25,027,MA,"Worcester County",54,96,2140,
09,011,23,031,ME,"York County",52,139,1561,
09,011,51,710,VA,Norfolk,50,123,1704,
09,011,25,017,MA,"Middlesex County",48,73,1680,
09,011,36,061,NY,"New York County",48,88,2818,
09,011,51,810,VA,"Virginia Beach",47,146,1402,
09,011,36,047,NY,"Kings County",43,95,1172,
09,011,25,025,MA,"Suffolk County",42,59,1392,
09,011,36,103,NY,"Suffolk County",37,70,1376,
09,011,12,031,FL,"Duval County",35,94,1082,
09,011,25,013,MA,"Hampden County",34,42,610,
09,011,12,103,FL,"Pinellas County",32,53,803,
09,011,44,005,RI,"Newport County",32,60,1022,
09,011,36,081,NY,"Queens County",31,63,963,
09,011,17,031,IL,"Cook County",30,41,1143,
09,011,36,091,NY,"Saratoga County",29,64,1004,
09,011,44,003,RI,"Kent County",29,43,1159,
09,011,06,037,CA,"Los Angeles County",28,45,817,
09,011,51,700,VA,"Newport News",28,92,1249,
09,011,36,119,NY,"Westchester County",27,44,2672,
09,011,45,015,SC,"Berkeley County",27,64,848,
09,011,12,011,FL,"Broward County",26,41,533,
09,011,25,021,MA,"Norfolk County",26,43,1245,
09,011,25,005,MA,"Bristol County",25,31,594,
09,011,51,059,VA,"Fairfax County",25,72,1789,
09,011,33,015,NH,"Rockingham County",24,41,725,
09,011,25,009,MA,"Essex County",23,46,803,
09,011,12,099,FL,"Palm Beach County",22,33,716,
09,011,36,059,NY,"Nassau County",22,35,767,
09,011,17,097,IL,"Lake County",21,53,1001,
09,011,23,005,ME,"Cumberland County",21,40,864,
09,011,48,201,TX,"Harris County",21,32,478,
09,011,04,013,AZ,"Maricopa County",20,31,687,
09,011,25,023,MA,"Plymouth County",20,28,610,
09,011,42,003,PA,"Allegheny County",20,26,605,
09,011,25,001,MA,"Barnstable County",19,24,484,
09,011,34,001,NJ,"Atlantic County",19,44,1007,
09,011,12,025,FL,"Dade County",18,32,532,
09,011,24,031,MD,"Montgomery County",18,30,893,
09,011,12,057,FL,"Hillsborough County",17,24,260,
09,011,34,023,NJ,"Middlesex County",17,34,928,
09,011,34,025,NJ,"Monmouth County",17,25,509,
09,011,34,027,NJ,"Morris County",16,22,1047,
09,011,51,550,VA,Chesapeake,16,50,798,
09,011,32,003,NV,"Clark County",15,24,3067,
09,011,37,133,NC,"Onslow County",15,30,319,
09,011,53,033,WA,"King County",15,25,704,
09,011,12,117,FL,"Seminole County",14,39,419,
09,011,33,011,NH,"Hillsborough County",14,28,566,
09,011,33,017,NH,"Strafford County",14,27,459,
09,011,42,091,PA,"Montgomery County",14,39,1122,
09,011,51,650,VA,Hampton,14,40,719,
09,011,06,059,CA,"Orange County",13,19,493,
09,011,26,163,MI,"Wayne County",13,18,370,
09,011,34,029,NJ,"Ocean County",13,27,807,
09,011,36,055,NY,"Monroe County",13,21,465,
09,011,42,101,PA,"Philadelphia County",13,16,252,
09,011,12,033,FL,"Escambia County",12,29,254,
09,011,12,127,FL,"Volusia County",12,23,219,
09,011,34,003,NJ,"Bergen County",12,23,1169,
09,011,34,007,NJ,"Camden County",12,20,477,
09,011,34,031,NJ,"Passaic County",12,15,1045,
09,011,50,007,VT,"Chittenden County",12,20,473,
09,011,06,001,CA,"Alameda County",11,25,496,
09,011,12,071,FL,"Lee County",11,26,555,
09,011,24,033,MD,"Prince George's Coun",11,23,509,
09,011,36,005,NY,"Bronx County",11,14,200,
09,011,36,029,NY,"Erie County",11,26,513,
09,011,37,051,NC,"Cumberland County",11,23,267,
09,011,39,035,OH,"Cuyahoga County",11,20,671,
09,011,45,019,SC,"Charleston County",11,18,451,
09,011,06,067,CA,"Sacramento County",10,10,106,
09,011,10,003,DE,"New Castle County",10,28,592,
09,011,12,009,FL,"Brevard County",10,17,239,
09,011,12,085,FL,"Martin County",10,13,188,
09,011,12,087,FL,"Monroe County",10,13,252,
09,011,12,115,FL,"Sarasota County",10,13,463,
09,011,24,003,MD,"Anne Arundel County",10,22,597,
09,011,37,183,NC,"Wake County",10,20,655,
09,011,39,049,OH,"Franklin County",10,22,364,
09,011,42,029,PA,"Chester County",10,21,609,
09,011,48,113,TX,"Dallas County",10,21,456,
09,011,51,153,VA,"Prince William Count",10,20,324,
09,011,51,740,VA,Portsmouth,10,27,325,
09,011,58,000,SS,"Other Flows - Same State",30,38,1063,
09,011,59,000,DS,"Other Flows - Diff State",1717,3204,59145,
09,011,59,001,DS,"Other Flows - Northeast",413,758,13390,
09,011,59,003,DS,"Other Flows - Midwest",350,642,14646,
09,011,59,005,DS,"Other Flows - South",669,1292,22980,
09,011,59,007,DS,"Other Flows - West",285,512,8128,
09,011,57,009,FR,"Foreign - Other flows",39,76,1047,
09,013,96,000,CT,"Tolland County Tot Mig-US & For",3899,6642,147931,
09,013,97,000,CT,"Tolland County Tot Mig-US",3729,6451,146858,
09,013,97,001,CT,"Tolland County Tot Mig-Same St",2656,4615,104284,
09,013,97,003,CT,"Tolland County Tot Mig-Diff St",1073,1836,42574,
09,013,98,000,CT,"Tolland County Tot Mig-Foreign",170,191,1073,
09,013,09,013,CT,"Tolland County Non-Migrants",44398,98519,2454734,
09,013,09,003,CT,"Hartford County",1890,3337,76565,
09,013,09,015,CT,"Windham County",339,623,11819,
09,013,09,011,CT,"New London County",136,222,5426,
09,013,09,007,CT,"Middlesex County",103,169,4453,
09,013,09,009,CT,"New Haven County",99,145,3186,
09,013,25,013,MA,"Hampden County",96,162,4001,
09,013,09,001,CT,"Fairfield County",56,69,1733,
09,013,25,027,MA,"Worcester County",44,60,2112,
09,013,25,017,MA,"Middlesex County",28,49,1616,
09,013,25,015,MA,"Hampshire County",23,33,850,
09,013,25,025,MA,"Suffolk County",20,26,482,
09,013,04,013,AZ,"Maricopa County",17,30,616,
09,013,12,099,FL,"Palm Beach County",16,25,860,
09,013,25,021,MA,"Norfolk County",16,25,841,
09,013,44,007,RI,"Providence County",15,28,792,
09,013,36,103,NY,"Suffolk County",14,29,882,
09,013,25,023,MA,"Plymouth County",11,20,531,
09,013,50,007,VT,"Chittenden County",11,16,302,
09,013,06,037,CA,"Los Angeles County",10,21,292,
09,013,25,009,MA,"Essex County",10,14,327,
09,013,36,061,NY,"New York County",10,12,385,
09,013,58,000,SS,"Other Flows - Same State",33,50,1102,
09,013,59,000,DS,"Other Flows - Diff State",732,1286,27685,
09,013,59,001,DS,"Other Flows - Northeast",278,474,11060,
09,013,59,003,DS,"Other Flows - Midwest",107,190,4808,
09,013,59,005,DS,"Other Flows - South",250,449,7546,
09,013,59,007,DS,"Other Flows - West",97,173,4271,
09,013,57,009,FR,"Foreign - Other flows",170,191,1073,
09,015,96,000,CT,"Windham County Tot Mig-US & For",2257,4066,69409,
09,015,97,000,CT,"Windham County Tot Mig-US",2209,3996,68955,
09,015,97,001,CT,"Windham County Tot Mig-Same St",1247,2130,37698,
09,015,97,003,CT,"Windham County Tot Mig-Diff St",962,1866,31257,
09,015,98,000,CT,"Windham County Tot Mig-Foreign",48,70,454,
09,015,09,015,CT,"Windham County Non-Migrants",37773,82262,1566782,
09,015,09,011,CT,"New London County",604,1091,17637,
09,015,09,013,CT,"Tolland County",340,544,10123,
09,015,25,027,MA,"Worcester County",209,409,7895,
09,015,09,003,CT,"Hartford County",183,309,6460,
09,015,44,007,RI,"Providence County",79,141,2363,
09,015,09,009,CT,"New Haven County",60,87,1381,
09,015,09,001,CT,"Fairfield County",26,42,1093,
09,015,09,007,CT,"Middlesex County",24,40,814,
09,015,25,017,MA,"Middlesex County",19,33,981,
09,015,44,003,RI,"Kent County",17,31,479,
09,015,44,009,RI,"Washington County",15,30,504,
09,015,25,013,MA,"Hampden County",13,20,251,
09,015,57,005,FR,"Foreign - APO/FPO ZIPs",11,18,194,
09,015,23,019,ME,"Penobscot County",10,13,210,
09,015,58,000,SS,"Other Flows - Same State",10,17,190,
09,015,59,000,DS,"Other Flows - Diff State",600,1189,18573,
09,015,59,001,DS,"Other Flows - Northeast",236,468,7896,
09,015,59,003,DS,"Other Flows - Midwest",67,135,2512,
09,015,59,005,DS,"Other Flows - South",219,428,5870,
09,015,59,007,DS,"Other Flows - West",78,158,2295,
09,015,57,009,FR,"Foreign - Other flows",37,52,260,
