"1998 - 1999 County to County Migration Outflow",,,,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,,Aggregate,Median
,,,,,,,,,Total,Total
,,,,,,,,,Money,Money
"Migration from",,"Migration into",,,,Number,Number,Aggregate,Income,Income
DistrictofColumbia,,,,,,of,of,adjusted,,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,,
"FIPS Code",,,,,"and county by county detail",,,income,,
11,000,96,000,DC,"Total Mig - US & For",23831,39904,1059958,,
11,000,97,000,DC,"Total Mig - US",22906,38155,1016897,,
11,000,97,003,DC,"Total Mig - US Diff St",22906,38155,1016897,,
11,000,98,000,DC,"Total Mig - Foreign",925,1749,43061,,
11,001,96,000,DC,"District Of Col Tot Mig-US & For",23831,39904,1059958,,
11,001,97,000,DC,"District Of Col Tot Mig-US",22906,38155,1016897,,
11,001,97,003,DC,"District Of Col Tot Mig-Diff St",22906,38155,1016897,,
11,001,98,000,DC,"District Of Col Tot Mig-Foreign",925,1749,43061,,
11,001,11,001,DC,"District Of Col Non-Migrants",192275,336342,8728778,,
11,001,24,033,MD,"Prince George's Coun",5794,12256,156997,,
11,001,24,031,MD,"Montgomery County",3079,5270,157486,,
11,001,51,013,VA,"Arlington County",1590,2131,76735,,
11,001,51,059,VA,"Fairfax County",1424,2502,95575,,
11,001,51,510,VA,Alexandria,788,1103,40288,,
11,001,36,061,NY,"New York County",784,885,45779,,
11,001,57,005,FR,"Foreign - APO/FPO ZIPs",467,1042,25926,,
11,001,06,037,CA,"Los Angeles County",317,383,14736,,
11,001,17,031,IL,"Cook County",272,343,13084,,
11,001,06,075,CA,"San Francisco County",244,260,13017,,
11,001,24,003,MD,"Anne Arundel County",240,423,15494,,
11,001,51,153,VA,"Prince William Count",207,441,6911,,
11,001,36,047,NY,"Kings County",194,233,6974,,
11,001,24,017,MD,"Charles County",184,428,6754,,
11,001,25,017,MA,"Middlesex County",184,219,7975,,
11,001,24,510,MD,Baltimore,174,237,7033,,
11,001,25,025,MA,"Suffolk County",160,182,7600,,
11,001,42,101,PA,"Philadelphia County",141,175,5824,,
11,001,53,033,WA,"King County",140,176,7114,,
11,001,06,073,CA,"San Diego County",125,186,4488,,
11,001,12,025,FL,"Dade County",121,205,6018,,
11,001,06,001,CA,"Alameda County",114,141,4266,,
11,001,13,121,GA,"Fulton County",111,136,4633,,
11,001,24,027,MD,"Howard County",97,165,3923,,
11,001,24,005,MD,"Baltimore County",93,127,3046,,
11,001,36,081,NY,"Queens County",87,113,2621,,
11,001,48,201,TX,"Harris County",86,135,5650,,
11,001,51,107,VA,"Loudoun County",85,169,6222,,
11,001,13,089,GA,"De Kalb County",81,117,2365,,
11,001,42,003,PA,"Allegheny County",71,97,2880,,
11,001,27,053,MN,"Hennepin County",70,85,2265,,
11,001,48,453,TX,"Travis County",68,80,2656,,
11,001,34,017,NJ,"Hudson County",67,75,2641,,
11,001,04,013,AZ,"Maricopa County",66,97,3006,,
11,001,06,085,CA,"Santa Clara County",64,75,3571,,
11,001,12,011,FL,"Broward County",63,98,3505,,
11,001,36,119,NY,"Westchester County",59,82,2954,,
11,001,25,021,MA,"Norfolk County",55,74,10454,,
