"2000 - 2001 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
NewMexico,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
35,001,48,329,TX,"Midland County",21,43,685
35,001,48,355,TX,"Nueces County",21,39,783
35,001,08,101,CO,"Pueblo County",20,40,480
35,001,17,043,IL,"Du Page County",20,37,1037
35,001,20,173,KS,"Sedgwick County",20,34,853
35,001,29,095,MO,"Jackson County",20,41,648
35,001,39,057,OH,"Greene County",20,50,709
35,001,39,113,OH,"Montgomery County",20,52,1070
35,001,48,135,TX,"Ector County",20,38,585
35,001,55,025,WI,"Dane County",20,35,851
35,001,13,121,GA,"Fulton County",19,26,744
35,001,24,003,MD,"Anne Arundel County",19,37,702
35,001,29,189,MO,"St Louis County",19,26,1385
35,001,32,031,NV,"Washoe County",19,32,582
35,001,35,019,NM,"Guadalupe County",19,34,475
35,001,42,003,PA,"Allegheny County",19,28,610
35,001,48,441,TX,"Taylor County",19,39,551
35,001,51,013,VA,"Arlington County",19,28,1566
35,001,06,019,CA,"Fresno County",18,36,517
35,001,06,029,CA,"Kern County",18,45,704
35,001,12,025,FL,"Dade County",18,28,477
35,001,16,001,ID,"Ada County",18,25,391
35,001,40,027,OK,"Cleveland County",18,42,663
35,001,41,005,OR,"Clackamas County",18,36,737
35,001,53,011,WA,"Clark County",18,40,885
35,001,42,101,PA,"Philadelphia County",17,26,442
35,001,46,103,SD,"Pennington County",17,24,351
35,001,47,157,TN,"Shelby County",17,29,544
35,001,12,099,FL,"Palm Beach County",16,25,1160
35,001,24,033,MD,"Prince George's Coun",16,36,735
35,001,26,163,MI,"Wayne County",16,29,804
35,001,27,123,MN,"Ramsey County",16,25,620
35,001,06,077,CA,"San Joaquin County",15,36,911
35,001,06,095,CA,"Solano County",15,40,727
35,001,26,161,MI,"Washtenaw County",15,21,614
35,001,30,111,MT,"Yellowstone County",15,22,476
35,001,36,029,NY,"Erie County",15,23,605
35,001,36,081,NY,"Queens County",15,26,665
35,001,55,079,WI,"Milwaukee County",15,22,434
35,001,04,003,AZ,"Cochise County",14,23,320
35,001,12,103,FL,"Pinellas County",14,18,358
35,001,17,097,IL,"Lake County",14,24,658
35,001,25,025,MA,"Suffolk County",14,20,366
35,001,31,153,NE,"Sarpy County",14,37,769
35,001,41,039,OR,"Lane County",14,24,528
35,001,51,153,VA,"Prince William Count",14,27,630
35,001,51,810,VA,"Virginia Beach",14,22,321
35,001,06,097,CA,"Sonoma County",13,19,295
35,001,11,001,DC,"District Of Columbia",13,21,813
35,001,12,005,FL,"Bay County",13,33,519
35,001,12,095,FL,"Orange County",13,21,312
35,001,19,113,IA,"Linn County",13,29,930
35,001,25,009,MA,"Essex County",13,17,582
35,001,28,047,MS,"Harrison County",13,24,393
35,001,37,183,NC,"Wake County",13,17,826
35,001,39,061,OH,"Hamilton County",13,18,652
35,001,39,095,OH,"Lucas County",13,19,706
35,001,47,037,TN,"Davidson County",13,28,859
35,001,48,491,TX,"Williamson County",13,26,593
35,001,04,015,AZ,"Mohave County",12,16,278
35,001,06,087,CA,"Santa Cruz County",12,18,4428
35,001,09,003,CT,"Hartford County",12,24,702
35,001,13,089,GA,"De Kalb County",12,21,859
35,001,13,185,GA,"Lowndes County",12,28,409
35,001,17,163,IL,"St Clair County",12,25,361
35,001,31,109,NE,"Lancaster County",12,21,469
35,001,34,005,NJ,"Burlington County",12,28,499
35,001,34,027,NJ,"Morris County",12,14,442
35,001,35,003,NM,"Catron County",12,24,288
35,001,35,011,NM,"De Baca County",12,21,278
35,001,36,055,NY,"Monroe County",12,18,400
35,001,45,019,SC,"Charleston County",12,15,334
35,001,48,041,TX,"Brazos County",12,38,779
35,001,48,215,TX,"Hidalgo County",12,23,323
35,001,48,309,TX,"Mclennan County",12,23,646
35,001,53,067,WA,"Thurston County",12,20,434
35,001,55,133,WI,"Waukesha County",12,25,417
35,001,18,003,IN,"Allen County",11,13,923
35,001,19,153,IA,"Polk County",11,14,369
35,001,20,055,KS,"Finney County",11,25,335
35,001,22,033,LA,"East Baton Rouge Par",11,19,312
35,001,26,099,MI,"Macomb County",11,16,309
35,001,26,125,MI,"Oakland County",11,17,700
35,001,29,510,MO,"St Louis",11,17,232
35,001,36,071,NY,"Orange County",11,15,352
35,001,36,103,NY,"Suffolk County",11,17,420
