"2002-2003 County To County Migration  Outflows",,,,,,"United States",,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
"United States",,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
00,000,96,000,US,"Total Mig - US & For",6968080,13127651,286343183
00,000,97,000,US,"Total Mig - US",6843257,12900506,281747176
00,000,97,001,US,"Total Mig - US Same St",3971703,7483969,156545586
00,000,97,003,US,"Total Mig - US Diff St",2871554,5416537,125201591
00,000,98,000,US,"Total Mig - Foreign",124823,227145,4596007
