"1996-1997 County To County Migration  Outflows",,,,,,"United States",,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
"United States",,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
00,000,96,000,US,"Total Mig - US & For",6519387,12588903,224795403
00,000,97,000,US,"Total Mig - US",6405891,12368277,221472189
00,000,97,001,US,"Total Mig - US Same St",3566477,6832374,116660909
00,000,97,003,US,"Total Mig - US Diff St",2839414,5535903,104811281
00,000,98,000,US,"Total Mig - Foreign",113496,220626,3323214
