"1992 - 1993 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"Florida Outflows",
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Florida,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
12,005,12,045,Fl,Gulf,102,237,2039
12,005,12,091,Fl,Okaloosa,93,208,2288
12,005,12,133,Fl,Washington,90,198,1802
12,005,12,031,Fl,Duval,62,122,1390
12,005,12,063,Fl,Jackson,60,126,1190
12,005,12,057,Fl,Hillsborough,51,117,1138
12,005,48,029,Tx,Bexar,49,134,1543
12,005,48,201,Tx,Harris,49,117,2716
12,005,01,069,Al,Houston,46,104,821
12,005,01,073,Al,Jefferson,46,92,915
12,005,12,095,Fl,Orange,44,97,694
12,005,32,003,Nv,Clark,33,84,926
12,005,13,089,Ga,"De Kalb",32,53,548
12,005,06,073,Ca,"San Diego",32,54,559
12,005,12,001,Fl,Alachua,31,54,691
12,005,12,131,Fl,Walton,31,65,804
12,005,51,810,Va,"Virginia Beach city",30,90,832
12,005,01,097,Al,Mobile,30,63,823
12,005,12,011,Fl,Broward,29,52,617
12,005,12,025,Fl,Dade,29,50,525
12,005,12,113,Fl,"Santa Rosa",26,56,568
12,005,15,003,Hi,Honolulu,25,55,795
12,005,04,013,Az,Maricopa,25,55,624
12,005,12,103,Fl,Pinellas,25,45,547
12,005,13,067,Ga,Cobb,25,48,558
12,005,28,047,Ms,Harrison,24,56,602
12,005,13,135,Ga,Gwinnett,24,39,348
12,005,12,013,Fl,Calhoun,23,49,480
12,005,47,037,Tn,Davidson,23,39,520
12,005,12,009,Fl,Brevard,23,38,453
12,005,12,099,Fl,"Palm Beach",22,39,404
12,005,13,121,Ga,Fulton,22,39,409
12,005,01,101,Al,Montgomery,21,31,453
12,005,13,215,Ga,Muscogee,21,44,459
12,005,12,059,Fl,Holmes,19,28,288
12,005,06,037,Ca,"Los Angeles",19,27,373
12,005,40,109,Ok,Oklahoma,19,36,564
12,005,02,020,Ak,"Anchorage Borough",19,51,501
12,005,12,105,Fl,Polk,18,41,417
12,005,57,001,FR,"Foreign / Overseas",17,32,506
12,005,47,065,Tn,Hamilton,16,35,303
12,005,51,710,Va,"Norfolk city",16,36,304
12,005,08,041,Co,"El Paso",16,43,417
12,005,22,071,La,Orleans,16,37,353
12,005,06,067,Ca,Sacramento,16,44,469
12,005,45,019,SC,Charleston,16,29,304
12,005,12,087,Fl,Monroe,16,26,296
12,005,47,157,Tn,Shelby,16,30,383
12,005,12,127,Fl,Volusia,15,30,289
12,005,01,045,Al,Dale,15,32,261
12,005,12,037,Fl,Franklin,15,29,267
12,005,05,119,Ar,Pulaski,15,36,242
12,005,37,119,NC,Mecklenburg,14,37,456
12,005,51,700,Va,"Newport News city",14,47,463
12,005,12,117,Fl,Seminole,14,20,262
12,005,01,031,Al,Coffee,14,36,349
12,005,12,019,Fl,Clay,14,35,307
12,005,51,650,Va,"Hampton city",14,36,439
12,005,12,083,Fl,Marion,13,26,306
12,005,39,113,Oh,Montgomery,13,36,331
12,005,12,115,Fl,Sarasota,13,16,487
12,005,08,005,Co,Arapahoe,13,30,278
12,005,12,071,Fl,Lee,12,24,216
12,005,08,031,Co,Denver,12,31,190
12,005,18,097,In,Marion,12,31,234
12,005,17,031,Il,Cook,12,13,97
12,005,48,439,Tx,Tarrant,11,26,281
12,005,01,089,Al,Madison,11,22,299
12,005,13,185,Ga,Lowndes,11,32,373
12,005,09,011,Ct,"New London",11,25,331
12,005,51,199,Va,York,11,31,402
12,005,48,113,Tx,Dallas,11,19,77
12,005,53,033,Wa,King,10,22,315
12,005,13,021,Ga,Bibb,10,16,205
12,005,45,085,SC,Sumter,10,26,211
12,005,21,111,Ky,Jefferson,10,25,195
12,005,01,003,Al,Baldwin,10,20,330
12,005,01,061,Al,Geneva,10,17,117
12,005,01,015,Al,Calhoun,10,22,166
12,005,22,033,La,"East Baton Rouge",10,23,260
12,005,53,053,Wa,Pierce,10,18,171
12,005,51,550,Va,"Chesapeake city",10,24,202
12,005,12,081,Fl,Manatee,10,11,224
12,005,63,010,XX,"Same State",99,206,2077
12,005,63,011,XX,"Region 1: Northeast",166,323,3707
12,005,63,012,XX,"Region 2: Midwest",332,707,7221
12,005,63,013,XX,"Region 3: South",952,2134,22275
12,005,63,014,XX,"Region 4: West",220,497,5323
12,005,63,050,Fl,"County Non-Migrant",43594,97011,1214391
12,007,00,001,Fl,Bradford,502,1033,8766
12,007,12,001,Fl,Alachua,71,138,1327
12,007,12,019,Fl,Clay,64,125,1228
12,007,12,125,Fl,Union,46,123,837
12,007,12,031,Fl,Duval,46,77,886
12,007,12,107,Fl,Putnam,16,33,320
12,007,63,010,XX,"Same State",130,250,2064
12,007,63,011,XX,"Region 1: Northeast",14,25,234
12,007,63,012,XX,"Region 2: Midwest",22,55,371
12,007,63,013,XX,"Region 3: South",81,180,1152
12,007,63,014,XX,"Region 4: West",12,27,347
12,007,63,050,Fl,"County Non-Migrant",6138,14836,155407
12,009,00,001,Fl,Brevard,10084,19214,246646
12,009,12,095,Fl,Orange,813,1347,18863
12,009,57,005,FR,"APO / FPO Zip Code",317,658,6842
12,009,12,061,Fl,"Indian River",265,507,5884
12,009,12,117,Fl,Seminole,256,426,7368
12,009,12,011,Fl,Broward,234,386,4943
12,009,12,099,Fl,"Palm Beach",222,377,5879
12,009,12,127,Fl,Volusia,217,424,6704
12,009,12,057,Fl,Hillsborough,178,300,3829
12,009,12,025,Fl,Dade,147,261,3140
12,009,12,103,Fl,Pinellas,141,252,3453
12,009,12,031,Fl,Duval,138,259,3340
12,009,12,001,Fl,Alachua,133,188,2003
12,009,12,073,Fl,Leon,118,164,1699
12,009,12,097,Fl,Osceola,107,198,2394
12,009,12,111,Fl,"St. Lucie",99,202,2463
12,009,12,105,Fl,Polk,87,156,1806
12,009,12,083,Fl,Marion,64,131,1264
12,009,48,201,Tx,Harris,62,130,2072
12,009,51,059,Va,Fairfax,58,108,2275
12,009,13,067,Ga,Cobb,57,93,1627
12,009,12,069,Fl,Lake,56,104,1256
12,009,48,029,Tx,Bexar,54,145,1529
12,009,36,103,NY,Suffolk,51,82,1213
12,009,04,013,Az,Maricopa,51,93,1300
12,009,13,121,Ga,Fulton,50,84,1270
12,009,57,001,FR,"Foreign / Overseas",49,85,1384
12,009,08,041,Co,"El Paso",48,107,1374
12,009,06,073,Ca,"San Diego",47,82,825
12,009,12,087,Fl,Monroe,47,76,958
12,009,12,071,Fl,Lee,45,104,1323
12,009,37,119,NC,Mecklenburg,44,84,1361
12,009,32,003,Nv,Clark,43,77,1138
12,009,13,089,Ga,"De Kalb",42,63,738
12,009,12,085,Fl,Martin,42,78,1329
12,009,17,031,Il,Cook,40,58,789
12,009,15,003,Hi,Honolulu,39,74,964
12,009,06,037,Ca,"Los Angeles",38,66,970
12,009,12,109,Fl,"St. Johns",37,60,1177
12,009,12,019,Fl,Clay,31,74,888
12,009,13,135,Ga,Gwinnett,31,74,1193
12,009,01,073,Al,Jefferson,31,57,758
12,009,12,115,Fl,Sarasota,31,62,698
12,009,12,081,Fl,Manatee,30,66,653
12,009,12,091,Fl,Okaloosa,30,60,601
12,009,12,021,Fl,Collier,30,49,603
12,009,24,031,Md,Montgomery,30,58,1047
12,009,12,017,Fl,Citrus,30,60,858
12,009,48,439,Tx,Tarrant,30,58,925
12,009,47,093,Tn,Knox,29,60,981
12,009,37,021,NC,Buncombe,29,53,648
12,009,48,113,Tx,Dallas,29,59,1056
12,009,12,033,Fl,Escambia,29,51,733
12,009,01,101,Al,Montgomery,29,65,901
12,009,51,810,Va,"Virginia Beach city",28,65,1214
12,009,39,049,Oh,Franklin,28,60,603
12,009,48,453,Tx,Travis,28,60,1245
12,009,06,059,Ca,Orange,28,43,916
12,009,37,183,NC,Wake,27,57,909
12,009,45,019,SC,Charleston,27,43,617
12,009,37,051,NC,Cumberland,27,45,368
12,009,08,005,Co,Arapahoe,27,61,947
12,009,12,005,Fl,Bay,27,48,508
