"2005-2006 County to County Migration Inflow",,,,,,"Georgia Inflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Georgia,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
13,000,96,000,GA,"Total Mig - US & For",334660,676007,13621078
13,000,97,000,GA,"Total Mig - US",322537,659599,13445918
13,000,97,001,GA,"Total Mig - US Same St",188592,381518,7510553
13,000,97,003,GA,"Total Mig - US Diff St",133945,278081,5935365
13,000,98,000,GA,"Total Mig - Foreign",12123,16408,175160
13,001,96,000,GA,"Appling County Tot Mig-US &",297,630,7586
13,001,97,000,GA,"Appling County Tot Mig-US",297,630,7586
13,001,97,001,GA,"Appling County Tot Mig-Same",191,418,4643
13,001,97,003,GA,"Appling County Tot Mig-Diff",106,212,2944
13,001,98,000,GA,"Appling County Tot Mig-Fore",d,d,d
13,001,13,001,GA,"Appling County Non-Migrants",5263,12424,197205
13,001,13,161,GA,"Jeff Davis County",34,77,786
13,001,13,005,GA,"Bacon County",19,46,386
13,001,13,305,GA,"Wayne County",13,29,231
13,001,12,031,FL,"Duval County",10,23,352
13,001,58,000,SS,"Other Flows - Same State",125,266,3240
13,001,59,000,DS,"Other Flows - Diff State",96,189,2591
13,003,96,000,GA,"Atkinson County Tot Mig-US",165,377,3514
13,003,97,000,GA,"Atkinson County Tot Mig-US",165,377,3514
13,003,97,001,GA,"Atkinson County Tot Mig-Sam",118,251,2480
13,003,97,003,GA,"Atkinson County Tot Mig-Dif",47,126,1034
13,003,98,000,GA,"Atkinson County Tot Mig-For",d,d,d
13,003,13,003,GA,"Atkinson County Non-Migrant",2198,5683,66944
13,003,13,069,GA,"Coffee County",59,128,1091
13,003,58,000,SS,"Other Flows - Same State",59,123,1388
13,003,59,000,DS,"Other Flows - Diff State",47,126,1034
13,005,96,000,GA,"Bacon County Tot Mig-US & F",193,402,4878
13,005,97,000,GA,"Bacon County Tot Mig-US",193,402,4878
13,005,97,001,GA,"Bacon County Tot Mig-Same S",131,270,2938
13,005,97,003,GA,"Bacon County Tot Mig-Diff S",62,132,1940
13,005,98,000,GA,"Bacon County Tot Mig-Foreig",d,d,d
13,005,13,005,GA,"Bacon County Non-Migrants",2926,6861,108062
13,005,13,069,GA,"Coffee County",34,75,790
13,005,13,299,GA,"Ware County",17,31,405
13,005,13,001,GA,"Appling County",15,35,324
13,005,58,000,SS,"Other Flows - Same State",65,129,1420
13,005,59,000,DS,"Other Flows - Diff State",62,132,1940
13,007,96,000,GA,"Baker County Tot Mig-US & F",80,177,2125
13,007,97,000,GA,"Baker County Tot Mig-US",80,177,2125
13,007,97,001,GA,"Baker County Tot Mig-Same S",65,149,1704
13,007,97,003,GA,"Baker County Tot Mig-Diff S",15,28,421
13,007,98,000,GA,"Baker County Tot Mig-Foreig",d,d,d
13,007,13,007,GA,"Baker County Non-Migrants",980,2190,32732
13,007,13,095,GA,"Dougherty County",19,36,414
13,007,13,205,GA,"Mitchell County",12,34,252
13,007,58,000,SS,"Other Flows - Same State",34,79,1038
13,007,59,000,DS,"Other Flows - Diff State",15,28,421
13,009,96,000,GA,"Baldwin County Tot Mig-US &",947,1731,29295
13,009,97,000,GA,"Baldwin County Tot Mig-US",926,1707,29136
13,009,97,001,GA,"Baldwin County Tot Mig-Same",714,1321,20643
13,009,97,003,GA,"Baldwin County Tot Mig-Diff",212,386,8493
13,009,98,000,GA,"Baldwin County Tot Mig-Fore",21,24,159
13,009,13,009,GA,"Baldwin County Non-Migrants",13159,28182,540662
13,009,13,141,GA,"Hancock County",72,166,1986
13,009,13,237,GA,"Putnam County",71,146,2351
13,009,13,021,GA,"Bibb County",63,112,2103
13,009,13,319,GA,"Wilkinson County",61,122,1317
13,009,13,169,GA,"Jones County",48,97,1277
