"2005-2006 County to County Migration Outflow",,,,,,"Georgia Outflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Georgia,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
13,013,13,059,GA,"Clarke County",89,150,2956
13,013,13,139,GA,"Hall County",73,143,2833
13,013,13,089,GA,"De Kalb County",51,91,1512
13,013,13,121,GA,"Fulton County",44,70,1764
13,013,13,219,GA,"Oconee County",29,80,1096
13,013,13,195,GA,"Madison County",25,53,741
13,013,13,117,GA,"Forsyth County",23,45,1118
13,013,13,067,GA,"Cobb County",20,37,718
13,013,13,217,GA,"Newton County",14,26,491
13,013,13,063,GA,"Clayton County",13,30,342
13,013,13,011,GA,"Banks County",11,24,280
13,013,13,127,GA,"Glynn County",10,16,425
13,013,58,000,SS,"Other Flows - Same State",178,373,5378
13,013,59,000,DS,"Other Flows - Diff State",349,721,11468
13,013,59,001,DS,"Other Flows - Northeast",22,41,385
13,013,59,003,DS,"Other Flows - Midwest",53,117,1525
13,013,59,005,DS,"Other Flows - South",235,493,8539
13,013,59,007,DS,"Other Flows - West",39,70,1018
13,015,96,000,GA,"Bartow County Tot Mig-US &",2272,4954,82584
13,015,97,000,GA,"Bartow County Tot Mig-US",2262,4937,82118
13,015,97,001,GA,"Bartow County Tot Mig-Same",1595,3432,56025
13,015,97,003,GA,"Bartow County Tot Mig-Diff",667,1505,26093
13,015,98,000,GA,"Bartow County Tot Mig-Forei",10,17,466
13,015,13,015,GA,"Bartow County Non-Migrants",27804,67589,1340414
13,015,13,067,GA,"Cobb County",380,735,14239
13,015,13,057,GA,"Cherokee County",200,437,7891
13,015,13,115,GA,"Floyd County",155,334,5082
13,015,13,129,GA,"Gordon County",151,378,4577
13,015,13,223,GA,"Paulding County",133,328,5189
13,015,13,233,GA,"Polk County",78,181,2125
13,015,13,121,GA,"Fulton County",59,105,1641
13,015,13,089,GA,"De Kalb County",40,64,1192
13,015,13,135,GA,"Gwinnett County",32,54,958
13,015,13,097,GA,"Douglas County",23,42,600
13,015,13,045,GA,"Carroll County",21,49,672
13,015,13,227,GA,"Pickens County",21,38,707
13,015,13,123,GA,"Gilmer County",20,44,486
13,015,13,063,GA,"Clayton County",14,31,444
13,015,01,019,AL,"Cherokee County",13,32,390
13,015,13,139,GA,"Hall County",13,40,489
13,015,13,117,GA,"Forsyth County",12,21,525
13,015,12,071,FL,"Lee County",11,18,546
13,015,13,213,GA,"Murray County",11,29,361
13,015,47,065,TN,"Hamilton County",11,26,564
13,015,13,055,GA,"Chattooga County",10,21,447
13,015,13,151,GA,"Henry County",10,24,632
13,015,47,011,TN,"Bradley County",10,19,260
13,015,58,000,SS,"Other Flows - Same State",212,477,7766
13,015,59,000,DS,"Other Flows - Diff State",622,1410,24334
13,015,59,001,DS,"Other Flows - Northeast",42,92,1722
13,015,59,003,DS,"Other Flows - Midwest",71,178,2097
13,015,59,005,DS,"Other Flows - South",437,994,17956
