"1999 - 2000 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
NewMexico,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
35,001,06,083,CA,"Santa Barbara County",23,43,596
35,001,17,043,IL,"Du Page County",23,39,1370
35,001,20,173,KS,"Sedgwick County",23,53,828
35,001,37,183,NC,"Wake County",23,33,918
35,001,51,013,VA,"Arlington County",23,33,989
35,001,39,049,OH,"Franklin County",22,36,679
35,001,51,087,VA,"Henrico County",22,37,843
35,001,51,153,VA,"Prince William Count",22,69,1318
35,001,35,037,NM,"Quay County",21,40,377
35,001,05,119,AR,"Pulaski County",20,43,897
35,001,49,011,UT,"Davis County",20,54,1086
35,001,51,107,VA,"Loudoun County",20,41,1476
35,001,35,017,NM,"Grant County",19,33,345
35,001,39,057,OH,"Greene County",19,53,1035
35,001,40,027,OK,"Cleveland County",19,43,648
35,001,47,157,TN,"Shelby County",19,32,720
35,001,48,485,TX,"Wichita County",19,36,405
35,001,08,077,CO,"Mesa County",18,29,695
35,001,13,067,GA,"Cobb County",18,30,732
35,001,17,097,IL,"Lake County",18,34,1000
35,001,37,051,NC,"Cumberland County",18,46,551
35,001,55,025,WI,"Dane County",18,37,763
35,001,12,071,FL,"Lee County",17,22,620
35,001,25,025,MA,"Suffolk County",17,19,404
35,001,26,125,MI,"Oakland County",17,29,678
35,001,36,047,NY,"Kings County",17,21,364
35,001,48,355,TX,"Nueces County",17,36,680
35,001,48,381,TX,"Randall County",17,28,981
35,001,51,510,VA,Alexandria,17,24,1289
35,001,04,015,AZ,"Mohave County",16,30,666
35,001,12,031,FL,"Duval County",16,30,563
35,001,12,033,FL,"Escambia County",16,30,482
35,001,13,089,GA,"De Kalb County",16,28,764
35,001,18,097,IN,"Marion County",16,32,515
35,001,19,153,IA,"Polk County",16,23,414
35,001,41,039,OR,"Lane County",16,23,664
35,001,42,003,PA,"Allegheny County",16,33,556
35,001,04,007,AZ,"Gila County",15,32,505
35,001,04,025,AZ,"Yavapai County",15,27,585
35,001,08,123,CO,"Weld County",15,30,309
35,001,13,121,GA,"Fulton County",15,22,479
35,001,24,003,MD,"Anne Arundel County",15,31,495
35,001,36,081,NY,"Queens County",15,17,347
35,001,37,119,NC,"Mecklenburg County",15,28,1058
35,001,39,061,OH,"Hamilton County",15,24,681
35,001,41,005,OR,"Clackamas County",15,32,455
35,001,51,810,VA,"Virginia Beach",15,26,374
35,001,04,021,AZ,"Pinal County",14,23,390
35,001,12,127,FL,"Volusia County",14,26,551
35,001,13,135,GA,"Gwinnett County",14,30,1878
35,001,27,123,MN,"Ramsey County",14,25,463
35,001,29,077,MO,"Greene County",14,28,852
35,001,36,029,NY,"Erie County",14,24,484
35,001,48,451,TX,"Tom Green County",14,32,402
35,001,04,017,AZ,"Navajo County",13,33,198
35,001,24,005,MD,"Baltimore County",13,22,572
35,001,24,027,MD,"Howard County",13,24,688
35,001,25,027,MA,"Worcester County",13,30,1053
35,001,26,163,MI,"Wayne County",13,30,357
35,001,27,109,MN,"Olmsted County",13,28,874
35,001,37,063,NC,"Durham County",13,25,512
35,001,41,029,OR,"Jackson County",13,20,414
35,001,42,101,PA,"Philadelphia County",13,20,295
35,001,48,441,TX,"Taylor County",13,40,407
35,001,53,011,WA,"Clark County",13,32,714
35,001,56,021,WY,"Laramie County",13,28,417
35,001,02,090,AK,"Fairbanks North Star",12,32,441
35,001,08,085,CO,"Montrose County",12,19,406
35,001,26,081,MI,"Kent County",12,24,596
35,001,33,011,NH,"Hillsborough County",12,24,941
35,001,35,029,NM,"Luna County",12,24,263
35,001,44,007,RI,"Providence County",12,24,417
35,001,48,041,TX,"Brazos County",12,24,631
35,001,06,061,CA,"Placer County",11,23,572
35,001,06,095,CA,"Solano County",11,20,624
35,001,06,097,CA,"Sonoma County",11,16,494
35,001,09,003,CT,"Hartford County",11,16,528
35,001,12,073,FL,"Leon County",11,15,412
35,001,12,113,FL,"Santa Rosa County",11,25,721
35,001,26,099,MI,"Macomb County",11,16,245
35,001,26,161,MI,"Washtenaw County",11,19,472
35,001,28,047,MS,"Harrison County",11,30,326
35,001,29,047,MO,"Clay County",11,25,423
35,001,34,005,NJ,"Burlington County",11,21,413
35,001,34,023,NJ,"Middlesex County",11,22,484
35,001,45,019,SC,"Charleston County",11,17,281
35,001,48,209,TX,"Hays County",11,19,453
35,001,48,215,TX,"Hidalgo County",11,20,268
35,001,48,329,TX,"Midland County",11,19,348
35,001,51,710,VA,Norfolk,11,16,274
35,001,04,003,AZ,"Cochise County",10,16,389
35,001,06,079,CA,"San Luis Obispo Coun",10,20,295
35,001,08,037,CO,"Eagle County",10,19,209
35,001,09,001,CT,"Fairfield County",10,19,430
35,001,09,009,CT,"New Haven County",10,15,276
35,001,12,105,FL,"Polk County",10,17,281
35,001,12,115,FL,"Sarasota County",10,19,500
35,001,12,117,FL,"Seminole County",10,19,344
35,001,13,185,GA,"Lowndes County",10,19,286
35,001,15,001,HI,"Hawaii County",10,21,555
35,001,18,141,IN,"St Joseph County",10,23,293
35,001,21,111,KY,"Jefferson County",10,18,476
35,001,22,071,LA,"Orleans Parish",10,13,183
35,001,26,065,MI,"Ingham County",10,20,302
35,001,29,019,MO,"Boone County",10,18,437
35,001,30,013,MT,"Cascade County",10,20,264
35,001,31,109,NE,"Lancaster County",10,13,218
35,001,36,067,NY,"Onondaga County",10,15,237
35,001,42,017,PA,"Bucks County",10,20,332
35,001,44,005,RI,"Newport County",10,26,431
35,001,46,103,SD,"Pennington County",10,23,384
35,001,48,157,TX,"Fort Bend County",10,25,575
35,001,58,000,SS,"Other Flows - Same State",27,50,634
35,001,59,000,DS,"Other Flows - Diff State",2489,4852,94001
35,001,59,001,DS,"Other Flows - Northeast",380,629,14183
35,001,59,003,DS,"Other Flows - Midwest",603,1181,21138
35,001,59,005,DS,"Other Flows - South",1003,2102,39335
